Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score
23,Female,San Marino,Graduate,LinkedIn,Education,2.7,103,5.5,2.4,7.4,Medium,7.8
21,Female,Other,Undergraduate,YouTube,Education,7.6,242,1.0,0.5,4.7,Very High,6.0
18,Male,Other,High School,Twitter,News,5.9,199,2.4,2.5,6.9,High,6.0
19,Female,Other,Undergraduate,YouTube,Education,4.6,150,2.7,2.6,7.1,High,6.8
22,Male,Other,Undergraduate,YouTube,Education,8.1,239,1.0,1.6,5.3,Very High,5.8
22,Male,Other,Undergraduate,Instagram,Entertainment,8.3,254,1.0,1.2,6.3,Very High,5.2
22,Female,Other,Undergraduate,YouTube,Education,7.8,230,1.0,0.3,5.2,Very High,5.1
24,Female,Other,Graduate,LinkedIn,Education,3.8,140,4.7,3.1,8.7,Low,7.7
18,Male,Other,High School,Twitter,News,2.0,86,5.8,2.4,8.2,Medium,7.7
24,Male,Mexico,Graduate,Facebook,Networking,6.3,194,2.1,0.3,6.2,High,4.5
20,Female,South Korea,Undergraduate,KakaoTalk,News,5.0,164,2.3,1.6,6.5,Medium,6.0
20,Female,USA,Undergraduate,Twitter,News,5.2,176,1.8,2.0,6.7,High,6.6
19,Female,Other,Undergraduate,TikTok,Entertainment,4.4,146,3.0,1.2,6.3,High,6.8
19,Male,Other,Undergraduate,YouTube,Education,3.3,104,5.4,1.6,7.2,Medium,8.3
23,Female,Other,Graduate,Facebook,Networking,7.7,256,1.1,1.7,5.8,High,4.5
22,Male,India,Undergraduate,WhatsApp,Networking,6.4,193,3.2,1.0,5.8,Very High,5.4
24,Female,USA,Graduate,Twitter,News,6.5,197,2.1,0.8,6.0,Very High,5.4
21,Male,New Zealand,Undergraduate,Instagram,Entertainment,4.5,172,3.4,2.0,7.8,Medium,6.9
22,Female,USA,Undergraduate,LinkedIn,Education,3.7,143,3.8,1.9,6.8,High,7.0
22,Female,UK,Undergraduate,Facebook,Networking,4.8,164,2.2,2.0,7.2,Medium,6.0
20,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.8,165,3.4,1.3,6.0,High,4.9
21,Female,Other,Undergraduate,YouTube,Education,7.0,211,1.4,2.6,5.3,Very High,5.1
20,Male,India,Undergraduate,LinkedIn,Education,8.0,225,0.8,0.9,5.1,Very High,5.1
22,Female,India,Undergraduate,YouTube,Education,2.7,120,4.7,1.8,9.1,Medium,7.1
22,Female,India,Undergraduate,YouTube,Education,3.0,120,5.3,1.8,8.8,Medium,7.1
24,Male,USA,Graduate,YouTube,Education,4.6,154,2.3,1.5,7.1,High,6.5
23,Male,Spain,Graduate,Facebook,Networking,6.6,193,1.0,1.2,6.0,Very High,4.7
20,Male,India,Undergraduate,TikTok,Entertainment,7.9,255,1.1,1.0,5.6,Very High,5.8
22,Female,Australia,Undergraduate,YouTube,Education,3.1,134,4.6,1.4,8.2,Medium,8.0
21,Male,Turkey,Undergraduate,Instagram,Entertainment,4.3,146,3.5,1.9,7.7,Medium,5.9
19,Female,Brazil,Undergraduate,WhatsApp,Networking,6.0,201,1.1,0.3,6.4,Very High,6.0
23,Male,Australia,Graduate,YouTube,Education,3.3,149,6.0,2.0,8.9,Medium,7.9
19,Female,USA,Undergraduate,YouTube,Education,4.8,167,3.3,2.0,7.2,High,6.6
20,Female,Switzerland,Undergraduate,Instagram,Entertainment,2.7,123,6.5,2.3,9.5,Medium,7.9
22,Male,Nepal,Undergraduate,TikTok,Entertainment,4.5,144,4.0,1.2,7.3,Medium,6.8
24,Male,Other,Graduate,LinkedIn,Education,7.3,226,1.6,1.1,4.7,Very High,4.7
21,Male,Other,Undergraduate,TikTok,Entertainment,3.4,123,4.6,2.8,6.9,Medium,7.2
21,Male,UK,Undergraduate,TikTok,Entertainment,4.9,154,3.0,1.7,6.1,High,6.3
19,Male,Canada,Undergraduate,TikTok,Entertainment,2.5,101,4.7,2.6,8.7,Low,8.2
24,Male,Other,Graduate,Instagram,Entertainment,2.0,104,7.4,2.6,7.5,Low,8.5
23,Male,Slovakia,Graduate,LinkedIn,Education,2.6,97,7.2,2.9,7.2,Low,8.2
21,Male,Italy,Undergraduate,TikTok,Entertainment,5.0,160,3.9,1.7,7.1,High,4.9
20,Female,Spain,Undergraduate,TikTok,Entertainment,3.7,144,3.5,2.3,8.1,Low,6.0
20,Male,Other,Undergraduate,Facebook,Networking,4.1,128,5.0,2.7,7.8,High,8.8
20,Female,Australia,Undergraduate,Instagram,Entertainment,4.6,160,2.5,1.7,7.2,High,7.1
18,Female,Other,High School,TikTok,Entertainment,3.2,116,3.6,2.2,8.6,Low,9.2
23,Male,Turkey,Graduate,Instagram,Entertainment,7.0,213,1.1,0.5,6.0,Very High,5.1
24,Female,Germany,Graduate,TikTok,Entertainment,3.4,113,4.1,1.4,7.9,Low,7.1
24,Female,Other,Graduate,YouTube,Education,7.3,249,0.9,0.6,4.7,Very High,5.5
18,Male,Other,High School,Instagram,Entertainment,6.8,220,2.4,1.3,4.6,Very High,5.9
22,Male,Turkey,Undergraduate,TikTok,Entertainment,5.2,157,3.5,1.9,7.1,High,5.7
24,Male,Ireland,Graduate,Instagram,Entertainment,6.1,173,3.1,1.3,6.4,High,5.9
20,Female,Spain,Undergraduate,TikTok,Entertainment,4.2,166,2.1,1.8,7.6,High,6.0
21,Male,UK,Undergraduate,Instagram,Entertainment,3.8,133,5.8,2.7,8.2,Medium,8.5
20,Female,France,Undergraduate,Instagram,Entertainment,3.2,138,5.2,2.1,9.0,Low,6.8
20,Male,Other,Undergraduate,Twitter,News,8.0,253,1.1,1.3,4.7,Very High,4.7
23,Male,Other,Graduate,TikTok,Entertainment,6.5,211,2.3,1.1,5.7,Very High,5.1
19,Female,USA,Undergraduate,TikTok,Entertainment,6.8,215,1.6,0.7,5.5,Very High,4.2
22,Male,Mexico,Undergraduate,WhatsApp,Entertainment,6.9,217,0.7,1.1,5.5,Very High,6.3
23,Female,Poland,Graduate,Instagram,Entertainment,6.0,188,1.5,0.7,6.4,High,5.0
20,Female,France,Undergraduate,Instagram,Entertainment,2.8,104,5.2,2.7,9.0,Low,7.3
19,Male,Other,Undergraduate,LinkedIn,Education,3.6,136,3.0,2.1,8.7,Medium,8.2
24,Male,Other,Graduate,TikTok,Entertainment,4.0,125,4.8,0.5,6.2,Low,6.0
21,Male,Australia,Undergraduate,Instagram,Entertainment,5.8,198,4.2,1.3,7.2,Medium,6.6
19,Male,France,Undergraduate,Instagram,Entertainment,4.8,176,2.0,0.9,7.3,Medium,6.8
21,Male,Australia,Undergraduate,Twitter,News,3.5,123,4.8,2.5,7.6,Medium,6.7
24,Male,Canada,Graduate,Twitter,News,6.4,223,0.6,1.1,6.4,Very High,4.5
19,Female,Other,Undergraduate,Twitter,News,6.5,220,1.0,1.2,5.7,Very High,4.6
19,Male,Bangladesh,Undergraduate,TikTok,Entertainment,4.3,141,3.6,1.5,7.3,High,5.1
22,Male,India,Undergraduate,Twitter,News,5.9,190,2.9,2.2,7.2,Medium,7.1
21,Male,Other,Undergraduate,YouTube,Education,4.9,179,2.5,2.2,6.9,High,6.9
23,Male,India,Graduate,Twitter,News,7.1,234,1.0,0.3,5.2,Very High,5.7
18,Male,Canada,High School,LinkedIn,Education,6.3,194,1.1,2.2,6.4,High,6.0
23,Female,Other,Graduate,Instagram,Entertainment,5.7,202,3.8,1.9,6.1,High,6.4
20,Female,India,Undergraduate,WhatsApp,News,7.3,246,1.0,0.9,5.4,Very High,5.1
21,Female,Other,Undergraduate,Snapchat,Entertainment,2.7,117,6.1,1.9,7.7,Medium,7.6
21,Female,Russia,Undergraduate,Instagram,Entertainment,7.0,212,1.6,1.6,6.5,Very High,4.0
22,Male,Canada,Undergraduate,TikTok,Entertainment,4.2,145,4.9,2.1,8.2,Medium,6.1
23,Female,Other,Graduate,Snapchat,Entertainment,3.6,115,6.4,2.0,8.6,Medium,8.3
24,Male,Other,Graduate,Snapchat,Entertainment,5.9,204,1.3,2.3,4.7,High,4.4
19,Male,India,Undergraduate,LinkedIn,Education,5.6,170,1.1,1.8,6.8,High,6.8
22,Male,Pakistan,Undergraduate,Instagram,Entertainment,3.8,139,4.1,1.2,7.7,Medium,5.2
22,Male,Other,Undergraduate,Instagram,Entertainment,2.6,107,4.7,1.9,7.4,Medium,8.6
22,Male,Afghanistan,Undergraduate,LinkedIn,Education,3.2,115,6.7,2.0,7.4,Medium,6.9
19,Male,Canada,Undergraduate,Facebook,Networking,7.7,217,1.3,2.0,5.1,Very High,4.2
22,Male,Other,Undergraduate,Twitter,News,2.6,100,5.3,2.2,8.4,Medium,7.5
22,Female,Other,Undergraduate,Instagram,Entertainment,8.0,246,0.9,1.0,5.4,Very High,5.1
20,Female,Maldives,Undergraduate,Instagram,Entertainment,3.7,151,2.5,2.6,8.4,Medium,8.2
21,Male,Vietnam,Undergraduate,Facebook,Networking,3.7,116,4.5,1.5,6.7,Medium,6.8
19,Female,Denmark,Undergraduate,Twitter,News,4.7,162,2.1,2.2,6.6,Medium,7.4
24,Female,Other,Graduate,YouTube,Education,7.2,246,1.3,0.6,5.6,Very High,5.2
22,Male,USA,Undergraduate,Twitter,News,3.5,151,2.7,2.1,7.4,Medium,8.6
19,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.5,149,1.9,1.2,6.6,Medium,4.8
19,Male,Other,Undergraduate,Snapchat,Entertainment,2.6,97,6.7,2.5,7.9,Low,9.1
21,Male,India,Undergraduate,Facebook,Networking,4.6,170,2.5,2.0,7.0,Medium,7.0
20,Male,USA,Undergraduate,TikTok,Entertainment,7.8,256,0.9,1.6,5.6,Very High,5.0
22,Male,Italy,Undergraduate,LinkedIn,Education,2.6,101,5.0,2.0,7.2,Low,8.0
19,Female,Nepal,Undergraduate,TikTok,Entertainment,5.4,181,2.0,1.9,5.5,High,6.2
22,Female,Other,Undergraduate,TikTok,Entertainment,5.4,185,2.1,2.1,6.3,Medium,6.9
18,Female,USA,High School,Twitter,News,3.8,125,3.7,2.4,8.3,Medium,7.3
21,Male,Poland,Undergraduate,Facebook,Networking,3.7,145,4.7,2.2,8.3,Medium,7.1
24,Female,Other,Graduate,LinkedIn,Education,5.8,190,1.5,0.9,6.0,Very High,4.8
21,Male,India,Undergraduate,WhatsApp,Education,6.6,196,1.6,0.4,5.8,Very High,5.2
22,Male,Other,Undergraduate,Facebook,Networking,5.2,182,3.3,2.5,7.4,Medium,5.9
20,Female,Other,Undergraduate,TikTok,Entertainment,2.5,100,4.6,1.5,7.6,Medium,8.2
19,Male,India,Undergraduate,YouTube,Education,6.6,224,2.0,2.1,5.9,Very High,5.9
22,Male,Maldives,Undergraduate,TikTok,Entertainment,5.0,159,2.7,1.2,5.3,High,6.0
21,Male,India,Undergraduate,Instagram,Entertainment,4.4,156,2.1,1.9,7.1,Medium,5.9
22,Male,UK,Undergraduate,Twitter,News,6.5,208,1.4,1.6,6.7,Very High,4.9
20,Female,France,Undergraduate,Instagram,Entertainment,3.4,122,4.1,2.9,8.4,Low,6.6
19,Male,Other,Undergraduate,TikTok,Entertainment,7.2,208,1.0,1.6,5.1,Very High,5.5
22,Male,Other,Undergraduate,TikTok,Entertainment,5.9,203,1.1,1.2,5.2,Very High,6.0
19,Female,USA,Undergraduate,Instagram,Entertainment,6.9,213,1.9,0.6,5.4,Very High,3.8
24,Male,UK,Graduate,TikTok,Entertainment,6.2,185,1.4,0.8,5.4,Very High,4.8
23,Female,Other,Graduate,Instagram,Entertainment,7.7,216,1.4,1.6,4.8,Very High,5.7
24,Male,Other,Graduate,Facebook,Networking,2.3,110,6.4,2.9,7.9,Low,8.8
21,Male,UK,Undergraduate,Instagram,Entertainment,5.0,171,2.1,1.8,6.0,High,6.1
19,Male,Sri Lanka,Undergraduate,TikTok,Entertainment,5.7,188,1.6,2.0,5.8,High,5.7
21,Male,India,Undergraduate,WhatsApp,Education,6.2,196,1.3,0.4,5.7,Very High,5.0
22,Male,Canada,Undergraduate,TikTok,Entertainment,4.0,157,4.5,1.5,7.7,Medium,7.3
24,Female,USA,Graduate,YouTube,Education,7.5,228,0.9,0.4,5.8,Very High,4.2
21,Male,India,Undergraduate,TikTok,Entertainment,7.7,222,1.4,0.2,5.0,Very High,4.6
20,Male,Other,Undergraduate,Facebook,Networking,7.4,241,1.0,1.5,5.4,Very High,5.7
20,Female,USA,Undergraduate,TikTok,Entertainment,7.5,226,1.1,1.6,4.6,Very High,4.6
21,Female,Turkey,Undergraduate,Instagram,Entertainment,6.8,202,2.7,1.7,6.4,Very High,4.9
21,Male,Canada,Undergraduate,YouTube,Education,3.4,151,4.3,2.1,6.3,Medium,5.9
19,Female,Other,Undergraduate,LinkedIn,Education,4.7,151,2.3,2.5,6.7,High,6.5
22,Male,Switzerland,Undergraduate,Facebook,Networking,4.7,154,5.0,1.9,7.5,High,7.1
20,Male,Other,Undergraduate,YouTube,Education,4.0,153,4.0,1.5,6.5,High,6.0
24,Female,Other,Graduate,LinkedIn,Education,4.8,147,4.5,2.1,6.4,High,6.6
22,Male,Germany,Undergraduate,Facebook,Networking,4.4,155,2.7,1.3,7.7,Medium,6.7
24,Male,Other,Graduate,Instagram,Entertainment,6.7,193,1.4,0.7,5.3,Very High,4.6
20,Male,Other,Undergraduate,LinkedIn,Education,6.7,219,1.8,2.0,4.6,Very High,4.7
19,Female,Other,Undergraduate,LinkedIn,Education,4.4,165,3.7,2.2,6.0,Medium,6.5
18,Male,Australia,High School,Facebook,Networking,4.3,157,3.7,2.5,6.1,High,6.4
22,Male,Poland,Undergraduate,Facebook,Networking,4.2,145,3.7,2.5,8.0,High,7.1
22,Male,Other,Undergraduate,Facebook,Networking,7.4,227,1.2,0.4,5.6,Very High,5.0
22,Male,Canada,Undergraduate,TikTok,Entertainment,4.5,150,2.0,1.5,7.3,High,6.2
20,Female,USA,Undergraduate,Instagram,Entertainment,5.5,190,1.9,0.8,6.9,High,6.4
22,Male,Turkey,Undergraduate,TikTok,Entertainment,4.1,133,3.3,2.2,8.2,Medium,6.0
18,Female,USA,High School,YouTube,Education,2.1,87,5.2,2.8,8.2,Low,7.3
21,Male,Other,Undergraduate,Facebook,Networking,5.9,209,3.2,0.7,6.0,Very High,7.0
20,Male,India,Undergraduate,TikTok,Entertainment,8.2,255,1.3,0.9,5.8,Very High,6.2
20,Male,USA,Undergraduate,Instagram,Entertainment,3.9,150,2.7,2.2,6.5,Medium,6.9
19,Male,Other,Undergraduate,LinkedIn,Education,7.4,227,1.3,0.9,5.7,Very High,6.2
20,Female,France,Undergraduate,Instagram,Entertainment,3.6,144,3.7,1.4,8.1,Medium,7.2
24,Female,Other,Graduate,TikTok,Entertainment,4.7,174,4.7,2.3,6.8,High,6.6
19,Male,Sri Lanka,Undergraduate,TikTok,Entertainment,5.1,182,2.7,1.3,4.8,High,6.1
18,Male,Other,High School,LinkedIn,Education,7.6,232,1.1,0.8,5.1,Very High,5.5
22,Male,Mexico,Undergraduate,WhatsApp,Networking,6.8,219,1.4,1.8,5.6,Very High,6.1
20,Female,Other,Undergraduate,Instagram,Entertainment,8.4,260,1.0,1.5,5.7,Very High,4.9
22,Female,Other,Undergraduate,TikTok,Entertainment,7.3,228,0.8,-0.0,4.4,Very High,6.3
19,Female,Japan,Undergraduate,LINE,Networking,3.4,135,4.3,2.7,8.2,Medium,8.0
20,Female,Switzerland,Undergraduate,Instagram,Entertainment,2.5,93,6.2,2.6,9.9,Low,8.1
20,Male,Hungary,Undergraduate,TikTok,Entertainment,4.4,130,3.4,2.0,5.9,High,6.0
22,Male,India,Undergraduate,WhatsApp,Networking,6.3,203,1.2,1.6,6.1,Very High,5.1
19,Female,India,Undergraduate,WhatsApp,Education,6.9,231,1.2,1.6,6.1,Very High,5.0
23,Male,Other,Graduate,TikTok,Entertainment,3.5,139,5.1,0.8,9.0,Medium,7.4
22,Female,India,Undergraduate,YouTube,Education,7.4,247,0.9,0.2,5.3,Very High,4.7
23,Female,Other,Graduate,Twitter,News,4.6,164,4.6,2.4,7.3,High,6.0
21,Male,Other,Undergraduate,Snapchat,Entertainment,8.3,261,1.1,1.6,4.9,Very High,4.8
18,Female,Other,High School,LinkedIn,Education,2.7,99,5.4,2.6,7.4,Low,7.3
22,Male,Malaysia,Undergraduate,WhatsApp,News,5.9,189,2.3,1.6,5.9,High,5.8
24,Male,Other,Graduate,Snapchat,Entertainment,1.5,68,6.1,2.8,8.7,Low,7.6
23,Male,India,Graduate,Instagram,Entertainment,2.5,126,6.1,2.4,8.8,Low,8.4
21,Female,Maldives,Undergraduate,Instagram,Entertainment,3.6,111,4.5,3.2,8.8,Medium,7.9
20,Female,Maldives,Undergraduate,Instagram,Entertainment,4.0,149,4.3,1.8,7.9,Medium,8.1
20,Female,India,Undergraduate,Instagram,Entertainment,5.6,190,1.0,1.2,6.2,High,6.2
22,Male,Denmark,Undergraduate,Facebook,Networking,2.0,110,4.7,3.0,9.5,Low,8.0
23,Male,Canada,Graduate,Twitter,News,3.3,109,5.2,2.4,7.6,Medium,7.7
21,Female,India,Undergraduate,TikTok,Entertainment,4.2,149,3.0,2.6,6.2,High,6.4
21,Male,Canada,Undergraduate,Instagram,Entertainment,4.5,156,3.2,1.2,7.7,Medium,6.8
20,Female,Other,Undergraduate,Instagram,Entertainment,8.1,260,0.8,1.4,5.6,Very High,4.8
24,Female,USA,Graduate,Twitter,News,6.6,197,2.2,1.0,6.0,Very High,5.2
22,Female,Other,Undergraduate,YouTube,Education,2.2,84,6.3,2.6,9.2,Low,9.1
21,Female,Other,Undergraduate,Twitter,News,7.8,244,0.8,2.2,5.4,Very High,5.6
19,Male,Other,Undergraduate,TikTok,Entertainment,6.9,208,1.1,1.1,5.4,Very High,5.7
19,Female,Australia,Undergraduate,Facebook,Networking,6.5,199,2.5,1.1,5.2,Very High,6.1
20,Male,Vatican City,Undergraduate,YouTube,Education,4.7,170,4.6,1.4,5.9,Medium,6.1
22,Male,Other,Undergraduate,Twitter,News,6.2,199,2.0,1.4,5.8,High,7.3
20,Female,UK,Undergraduate,TikTok,Entertainment,7.0,207,0.9,1.6,5.8,Very High,4.3
22,Male,Russia,Undergraduate,VKontakte,Entertainment,3.5,140,2.9,1.8,8.7,Low,6.8
22,Male,Maldives,Undergraduate,TikTok,Entertainment,4.6,164,2.8,1.8,4.2,High,6.3
23,Male,Canada,Graduate,Twitter,News,2.7,109,5.6,2.5,7.4,Medium,8.5
18,Male,Latvia,High School,Snapchat,Entertainment,5.4,177,3.9,0.9,5.1,Very High,5.0
24,Male,Other,Graduate,LinkedIn,Education,1.9,103,5.3,2.6,8.4,Low,8.0
21,Male,Malaysia,Undergraduate,WhatsApp,News,5.8,197,2.0,2.0,6.4,High,5.8
22,Male,Mexico,Undergraduate,WhatsApp,News,5.8,185,1.7,0.5,6.2,Very High,6.2
21,Male,Mexico,Undergraduate,WhatsApp,Entertainment,7.1,211,0.8,1.6,5.0,Very High,5.9
20,Female,Singapore,Undergraduate,TikTok,Entertainment,5.5,162,2.8,2.1,6.7,High,6.0
22,Male,Sri Lanka,Undergraduate,Facebook,Networking,4.8,149,4.5,2.1,4.5,High,5.8
19,Male,Other,Undergraduate,Facebook,Networking,4.0,148,4.1,2.5,7.4,Low,8.9
21,Female,Other,Undergraduate,Instagram,Entertainment,5.6,208,2.3,1.0,5.2,High,5.5
21,Female,Other,Undergraduate,Instagram,Entertainment,6.8,233,0.8,1.7,5.1,Very High,6.2
19,Female,Other,Undergraduate,YouTube,Education,7.5,242,1.2,1.2,6.1,Very High,4.9
22,Male,UK,Undergraduate,Snapchat,Entertainment,8.2,266,1.2,0.6,5.3,Very High,5.2
18,Female,Other,High School,Twitter,News,4.4,165,3.8,2.9,7.0,High,6.6
22,Male,France,Undergraduate,Facebook,Networking,4.9,148,3.4,1.5,7.2,Medium,6.8
24,Male,Other,Graduate,LinkedIn,Education,3.9,129,3.7,1.8,7.8,Low,8.9
19,Male,India,Undergraduate,Facebook,Networking,3.5,120,4.3,1.9,8.7,Medium,8.2
18,Female,Germany,High School,YouTube,Education,1.9,96,7.0,2.0,7.7,Low,7.9
19,Male,Nepal,Undergraduate,TikTok,Entertainment,4.4,161,2.8,1.8,7.8,High,7.0
21,Male,Italy,Undergraduate,TikTok,Entertainment,5.7,155,2.4,1.4,7.1,High,4.9
21,Male,UK,Undergraduate,TikTok,Entertainment,4.8,169,3.7,1.1,5.9,High,6.7
21,Female,China,Undergraduate,WeChat,News,5.6,173,2.3,2.2,6.7,High,5.8
18,Male,Other,High School,TikTok,Entertainment,8.0,250,1.0,1.5,5.6,Very High,4.5
20,Female,Australia,Undergraduate,Instagram,Entertainment,4.5,141,4.1,1.5,7.4,High,7.4
20,Male,Other,Undergraduate,Snapchat,Entertainment,2.0,102,7.0,3.3,6.9,Low,8.8
21,Male,New Zealand,Undergraduate,Instagram,Entertainment,4.7,158,2.8,1.8,7.4,High,7.1
23,Female,Other,Graduate,YouTube,Education,3.1,120,6.1,2.8,7.4,Medium,8.3
19,Female,Japan,Undergraduate,Twitter,News,4.7,140,4.3,2.4,7.5,Medium,8.1
20,Female,UK,Undergraduate,YouTube,Education,5.6,165,3.5,2.8,7.3,High,6.9
21,Female,Other,Undergraduate,TikTok,Entertainment,8.4,234,0.7,0.4,4.1,Very High,5.3
23,Male,Other,Graduate,Instagram,Entertainment,3.2,133,5.1,2.4,9.0,Low,9.3
23,Male,Switzerland,Graduate,Facebook,Networking,4.3,173,3.1,2.2,7.3,High,7.1
19,Male,Other,Undergraduate,LinkedIn,Education,6.1,172,3.7,1.7,7.5,Very High,6.5
24,Female,Other,Graduate,Instagram,Entertainment,5.5,166,4.0,1.7,6.6,High,6.7
19,Female,Maldives,Undergraduate,Instagram,Entertainment,5.2,176,3.0,1.9,6.0,High,5.7
23,Male,India,Graduate,Twitter,News,3.9,159,3.3,1.0,6.5,Medium,7.0
19,Female,USA,Undergraduate,TikTok,Entertainment,7.0,215,1.8,0.4,5.0,Very High,3.6
18,Female,Other,High School,LinkedIn,Education,5.6,188,3.0,1.9,6.0,High,5.4
18,Male,Other,High School,LinkedIn,Education,7.5,216,0.8,0.7,5.1,Very High,4.2
23,Male,Other,Graduate,YouTube,Education,3.1,120,5.2,2.5,8.0,Medium,7.6
20,Male,Other,Undergraduate,LinkedIn,Education,2.5,99,5.0,2.6,8.0,Medium,8.7
20,Female,Spain,Undergraduate,TikTok,Entertainment,4.0,169,2.5,1.7,7.4,High,6.2
22,Male,Mexico,Undergraduate,Facebook,Networking,6.4,201,1.1,1.9,6.4,Very High,5.2
22,Male,Other,Undergraduate,LinkedIn,Education,5.7,168,2.7,1.6,7.5,High,7.1
23,Male,Other,Graduate,TikTok,Entertainment,4.3,146,3.2,2.6,7.5,High,6.9
21,Male,New Zealand,Undergraduate,Facebook,Networking,4.4,148,3.7,1.6,8.0,Medium,7.0
23,Female,Other,Graduate,TikTok,Entertainment,2.4,90,4.7,2.8,8.1,Low,8.5
23,Female,USA,Graduate,Snapchat,Entertainment,7.9,223,1.1,-0.1,5.8,Very High,5.2
22,Male,Mexico,Undergraduate,Facebook,Networking,6.2,190,2.4,1.2,6.3,Very High,5.1
24,Female,Other,Graduate,YouTube,Education,7.3,249,1.1,0.9,5.1,Very High,5.2
22,Male,Canada,Undergraduate,TikTok,Entertainment,4.6,165,4.6,1.3,7.7,Medium,7.1
22,Male,Turkey,Undergraduate,TikTok,Entertainment,3.8,155,5.1,1.9,8.3,Medium,6.2
23,Male,UK,Graduate,Twitter,News,6.1,216,1.7,1.4,6.1,Very High,5.1
20,Female,USA,Undergraduate,TikTok,Entertainment,5.5,169,1.5,2.0,6.8,High,6.2
23,Female,San Marino,Graduate,LinkedIn,Education,2.4,103,5.6,2.6,7.1,Medium,8.3
20,Female,Australia,Undergraduate,LinkedIn,Education,5.4,175,2.9,1.6,5.0,High,5.9
20,Female,Spain,Undergraduate,TikTok,Entertainment,4.3,165,2.3,2.5,8.0,Medium,6.1
22,Male,Nepal,Undergraduate,TikTok,Entertainment,4.8,144,3.9,0.9,7.6,Medium,6.7
20,Male,Other,Undergraduate,YouTube,Education,2.4,96,5.8,2.2,7.5,Medium,7.1
19,Male,France,Undergraduate,Snapchat,Entertainment,4.6,162,2.0,2.4,6.0,Medium,4.9
21,Male,UK,Undergraduate,Instagram,Entertainment,5.2,184,2.8,2.3,6.5,High,6.0
21,Female,Germany,Undergraduate,Snapchat,Entertainment,7.8,235,1.8,1.5,4.7,Very High,5.1
18,Female,Other,High School,Facebook,Networking,6.4,220,1.3,2.3,4.5,Very High,4.8
24,Female,Other,Graduate,TikTok,Entertainment,3.6,151,4.5,2.3,8.9,Medium,8.9
21,Male,Italy,Undergraduate,TikTok,Entertainment,5.3,155,2.5,1.7,6.9,High,5.1
23,Female,Spain,Graduate,Facebook,Networking,6.6,187,2.0,1.2,6.5,High,5.3
22,Male,Other,Undergraduate,Facebook,Networking,4.7,175,3.8,1.9,5.9,High,6.4
19,Female,Germany,Undergraduate,Snapchat,Entertainment,5.4,183,1.9,0.7,7.5,Medium,6.2
19,Male,USA,Undergraduate,LinkedIn,Education,5.7,187,1.8,1.4,5.4,Very High,5.1
21,Female,Pakistan,Undergraduate,Instagram,Entertainment,5.3,176,3.4,1.7,6.7,High,5.2
19,Male,Other,Undergraduate,YouTube,Education,3.0,102,6.1,3.1,8.0,Medium,7.8
23,Male,Other,Graduate,TikTok,Entertainment,6.4,213,0.9,1.2,5.4,Very High,4.5
23,Female,Other,Graduate,LinkedIn,Education,1.8,107,8.3,2.5,8.0,Low,7.4
22,Male,Japan,Undergraduate,Twitter,News,4.6,149,3.4,3.0,7.3,Medium,7.9
20,Female,Ireland,Undergraduate,TikTok,Entertainment,4.7,133,3.7,1.6,7.5,Medium,7.1
22,Female,Other,Undergraduate,YouTube,Education,4.3,140,3.7,0.9,6.1,Medium,5.8
20,Female,Spain,Undergraduate,TikTok,Entertainment,4.5,169,3.0,2.0,7.3,High,6.2
21,Male,Other,Undergraduate,LinkedIn,Education,7.9,253,1.0,0.8,5.8,Very High,5.3
20,Male,Canada,Undergraduate,LinkedIn,Education,4.3,144,4.2,1.9,6.6,Medium,6.7
22,Male,Other,Undergraduate,LinkedIn,Education,6.5,201,1.6,2.1,4.7,Very High,5.1
19,Female,Bangladesh,Undergraduate,Instagram,Entertainment,5.2,154,2.3,2.2,7.0,High,5.2
22,Female,Australia,Undergraduate,TikTok,Entertainment,7.7,225,1.3,0.8,5.0,Very High,4.2
20,Female,Australia,Undergraduate,Facebook,Networking,4.1,150,4.7,1.9,7.2,Medium,6.9
23,Female,Other,Graduate,LinkedIn,Education,1.9,78,7.8,2.6,8.3,Low,7.6
20,Female,UAE,Undergraduate,Instagram,Entertainment,6.2,188,0.8,1.7,6.5,Very High,5.0
19,Female,India,Undergraduate,LinkedIn,Education,3.9,151,5.0,1.5,7.5,Medium,6.8
22,Male,Maldives,Undergraduate,TikTok,Entertainment,5.5,187,3.3,2.8,5.4,Very High,6.0
20,Female,Other,Undergraduate,LinkedIn,Education,7.3,232,1.8,1.6,6.0,Very High,4.3
21,Male,Other,Undergraduate,Snapchat,Entertainment,8.4,251,1.0,0.6,5.2,Very High,5.3
22,Male,New Zealand,Undergraduate,Instagram,Entertainment,4.8,146,2.6,2.6,7.8,High,6.8
21,Male,Australia,Undergraduate,YouTube,Education,6.8,211,1.3,1.3,6.0,Very High,5.0
21,Male,Mexico,Undergraduate,WhatsApp,News,6.2,203,1.6,2.9,6.2,Very High,6.2
19,Female,Costa Rica,Undergraduate,Instagram,Entertainment,5.4,180,3.1,1.3,5.6,Very High,5.3
